Trial_ID,Trial Number/Name,Paper Name,Journal,Paper Link,Publication Year,# of Arm,Control Group,Study Phase,Sample Size,Priamry Outcome,Primary Outcome Type,Trial Success(Primary Outcome Significant),Statistical Model,Randomization Scheme,Randomization Scheme(High Level),Research Area,Citation,Number of Rows,Is Longitudinal
1,NCT02491333,Effects of acupuncture and metformin on insulin sensitivity in women with polycystic ovary syndrome and insulin resistance: a three-armed randomized controlled trial,Human Reproduction,https://doi.org/10.1093/humrep/deab272,2022,3,Sham acupuncture + placebo,3,342,Change in HOMA-IR from baseline to 4 months after baseline visit,Continuous,No(acupuncture was not more effective than metformin or sham acupuncture),"Mann–Whitney U test
 
Kolmogorov-Smirnov test

Fisher's exact test",stratified by site,Stratified,"Nutrition, Metabolism & Lifestyle",71,342,
2,NCT04523831,Ivermectin in combination with doxycycline for treating COVID-19 symptoms: a randomized trial,Journal of International Medical Research,"
https://doi.org/10.1177/03000605211013550",2021,2,Placebo,3,400,Time (days) from treatment initiation (day 1) to clinical recovery,Time-to-event,Yes,"Primary: Kaplan–Meier survival curves + log-rank test; Cox proportional hazards regression for hazard ratios

Secondary: Logistic regression for categorical recovery time and disease progression",simple randomization,Simple,Infectious Diseases & Immunology,123,256,
3,NCT02753751,"Electronic health record alerts for acute kidney injury:
multicenter, randomized clinical trial",bmj,https://doi.org/10.1136/bmj.m4786,2021,2,Usual Care,Not Applicable,6030,"Composite of AKI progression (to a higher KDIGO stage), receipt of dialysis, or death within 14 days of randomization ",Binary,No,"Primary analysis: Mantel–Haenszel test (stratified by hospital) for relative risks; Cox proportional hazards regression (stratified by hospital) for Time-to-event

Sensitivity: modified Poisson generalized estimating equations with robust variance

Continuous/process measures: Van Elteren test (stratified); Kaplan–Meier curves and log-rank tests for site-specific Time-to-event analyses",simple randomization,Simple,Nephrology,196,92,
4,TCTR20171206003,"Effect of vitamin D supplementation in patients with chronic hepatitis C after direct-acting antiviral treatment: a randomized, double-blind, placebo-controlled trial",PeerJ,https://peerj.com/articles/10709/,2021,2,Placebo,2,75,"Change from baseline to week 6 in serum fibrogenesis markers:
 TGF-β1, TIMP-1, MMP-9, P3NP ",Continuous,No,"Primary: independent two-sample t-tests comparing mean change from baseline between arms

Sensitivity: median quantile regression of change scores

Baseline balance: t-tests or chi-square/Fisher’s exact tests ",blocked randomization,Block,Gastroenterology & Hepatology,11,417,
5,NCT02771977,A randomized clinical trial assessing the effect of automated medication-targeted alerts on acute kidney injury outcomes,Nature communications,https://www.nature.com/articles/s41467-023-38532-3,2023,2,Usual Care,Not Applicable,5060,"Composite of AKI progression (to a higher KDIGO stage), receipt of dialysis, or death within 14 days of randomization or hospital discharge",Binary,No,"Primary: Cochran–Mantel–Haenszel χ² test stratified by hospital for relative risks

Continuous/process: Van Elteren test (stratified by hospital)

Subgroup interactions: binomial regression model adjusted for hospital (interaction p-values)

Mediation: product-of-coefficients method with bootstrapped 95% CIs, adjusting for key baseline covariates",simple randomization,Simple,Nephrology,33,410,
6,UMIN000004490,The Effect of Sitagliptin on Carotid Artery Atherosclerosis in Type 2 Diabetes: The PROLOGUE Randomized Controlled Trial,PLoS medicine,https://doi.org/10.1371/journal.pmed.1002051,2016,2,Conventional,4,463,Percentage change in mean common carotid artery intima-media thickness (CCA IMT) at 24 months after randomization,Continuous,No,"Primary & secondary: baseline-adjusted ANCOVA

Sensitivity: mixed-effects model for repeated measures

Baseline comparisons: unpaired t-tests and Fisher’s exact tests",biased coin,Biased Coin,Cardiovascular Medicine,74,599,
7,NCT02927197,"Comparing Two Methods of Delivering ThinkRx Cognitive Training
to Children Ages 8–14: a Randomized Controlled Trial of Equivalency",Journal of Cognitive Enhancement,https://doi.org/10.1007/s41465-018-0094-z,2019,2,ThinkRx,Not Applicable,38,"Change scores (post – pre) on eight Woodcock–Johnson III cognitive subtests: associative memory, visual processing, auditory processing, logic & reasoning, processing speed, working memory/attention, long-term memory, and general intellectual ability.",Continuous,"Equivalence (no significant difference) demonstrated on 7 of 8 measures; however, long-term memory gains were significantly greater in the ThinkRx arm","Primary analysis: MANOVA on difference scores with Bonferroni correction

Sensitivity: ANCOVA for each post-test controlling baseline; OLS regression with clustered standard errors (for sibling dependence)","Blocked randomization,
 stratified by sibling status",Stratified Block,Neurology & Neurorehabilitation,9,366,
8,CTRI/2020/08/027225,Evaluation of Ivermectin as a Potential Treatment for Mild to Moderate COVID-19:  A Double-BlindRandomized  Placebo  Controlled  Trialin Eastern India,J Pharm Pharm Sci,10.18433/jpps32105,2021,2,Placebo,Not Applicable,115,Proportion of patients with a negative SARS-CoV-2 RT-PCR on Day 6 post-enrolment,Binary,No,"Baseline comparisons: independent-samples Student’s t-test (continuous) and chi-square test (categorical)

Outcome comparisons: rate ratios with chi-square tests",blocked randomization,Block,Infectious Diseases & Immunology,111,50,
9,ISRCTN13204258,"Umbilical vein oxytocin for the treatment of retained
placenta (Release Study): a double-blind, randomised
controlled trial",The Lancet,10.1016/S0140-6736(09)61752-9,2010,2,Placebo,Not Applicable,577,Need for manual removal of the placenta after randomization,Binary,No,"Primary & binary secondary outcomes: relative risks with χ² tests

Continuous skewed outcomes (e.g., time): Mann-Whitney tests

Subgroup consistency: Mantel–Haenszel homogeneity tests","blocked randomization,
stratified by center",Stratified Block,"Women's, Maternal & Child Health",73,44,
10,NCT02926144,"Influence of videolaryngoscopy using
McGrath Mac on the need for a helper
to perform intubation during general
anaesthesia: a multicentre randomised
video-no-video trial",BMJ open,10.1136/bmjopen-2021-049275,2022,2,No Video,Not Applicable,256,Proportion of orotracheal intubations requiring assistance at the operator’s request,Binary,No,"Primary outcome (binary): comparison of proportions by χ² test (with Bonferroni correction for multiple comparisons when assessing IDS components).

Secondary categorical outcomes: χ² or Fisher’s exact tests (as appropriate).

Continuous outcomes (e.g., POGO, time): Wilcoxon rank-sum test (after verifying normality with Shapiro–Wilk).

Intubation Difficulty Scale (ordinal): Wilcoxon or χ² for class comparisons.

Hemodynamic changes: pre- vs post-intubation medians compared by Wilcoxon; between-group differences tested similarly.","centralized randomization,
stratified by center",Stratified Block,Anesthesiology & Pain Medicine,2,217,
11,NCT02252588,"Chlorhexidine oral rinses for symptomatic COPD: a randomised, blind, placebo-controlled preliminary study",BMJ open,https://bmjopen.bmj.com/content/11/12/e050271,2021,2,placebo,2,44,Change from baseline to 8 weeks in oral and sputum microbiota biomass (log₁₀ 16S rRNA copy number),Continuous,No,"Primary analysis: Two-sample t-test on log10-transformed biomass data, with multiple imputation for missing sputum weights

Secondary analyses: Linear regression models for biodiversity indices, BCSS, SGRQ and inflammatory markers, with each model adjusted for the baseline value of the measure",Simple randomization,Simple,"Emergency, Pulmonary & Critical Care",10,6030,
